,combined_fips,votes_dem_2016,votes_gop_2016,total_votes_2016,per_dem_2016,per_gop_2016,diff_2016,per_point_diff_2016,state_abbr,county_name,FIPS,total_votes_2012,votes_dem_2012,votes_gop_2012,county_fips,state_fips,per_dem_2012,per_gop_2012,diff_2012,per_point_diff_2012
186,6001,486351.0,91189.0,613195.0,0.7931424750691053,0.14871125824574563,395162,0.6444312168233597,CA,Alameda County,North,06001,558386.0,438091.0,104330.0,001,06,0.7845665901365722,0.18684207698617086,333761.0,0.5977245131504013
187,6003,318.0,211.0,575.0,0.5530434782608695,0.36695652173913046,107,0.18608695652173907,CA,Alpine County,North,06003,647.0,389.0,236.0,003,06,0.6012364760432767,0.36476043276661513,153.0,0.23647604327666155
188,6005,5904.0,10239.0,17186.0,0.34353543581985335,0.595775631327825,4335,-0.2522401955079716,CA,Amador County,North,06005,15303.0,6001.0,8903.0,005,06,0.3921453309808534,0.5817813500620793,2902.0,-0.1896360190812259
189,6007,38676.0,42193.0,87847.0,0.4402654615410885,0.4803009778364657,3517,-0.040035516295377216,CA,Butte County,North,06007,70163.0,32567.0,35312.0,007,06,0.46416202271852686,0.5032852073029944,2745.0,-0.03912318458446756
190,6009,7738.0,13072.0,22334.0,0.3464672696337423,0.5852959613145876,5334,-0.2388286916808453,CA,Calaveras County,North,06009,18469.0,7404.0,10537.0,009,06,0.40088797444366236,0.5705235800530619,3133.0,-0.16963560560939955
191,6011,2659.0,3551.0,6594.0,0.4032453745829542,0.5385198665453442,892,-0.13527449196239005,CA,Colusa County,North,06011,5865.0,2248.0,3521.0,011,06,0.38329070758738276,0.6003410059676044,1273.0,-0.21705029838022166
192,6013,286658.0,105819.0,415972.0,0.6891281143923149,0.2543897185387478,180839,0.4347383958535671,CA,Contra Costa County,North,06013,351257.0,230826.0,112547.0,013,06,0.6571427758023327,0.32041211990081336,118279.0,0.33673065590151935
193,6015,3485.0,5134.0,9361.0,0.3722892853327636,0.5484456788804615,1649,-0.17615639354769785,CA,Del Norte County,North,06015,7940.0,3396.0,4256.0,015,06,0.42770780856423174,0.5360201511335012,860.0,-0.10831234256926947
194,6017,35243.0,47633.0,89228.0,0.3949769130766127,0.5338346707311606,12390,-0.13885775765454794,CA,El Dorado County,North,06017,85923.0,34033.0,49661.0,017,06,0.39608719434842826,0.577970974011615,15628.0,-0.18188377966318675
195,6019,123660.0,113949.0,250264.0,0.4941182111690055,0.4553151871623565,9711,0.03880302400664898,CA,Fresno County,South,06019,180244.0,85862.0,91143.0,019,06,0.47636537138545526,0.5056645436186503,5281.0,-0.02929917223319506
196,6021,3065.0,5788.0,9379.0,0.326793901268792,0.6171233606994349,2723,-0.29032945943064287,CA,Glenn County,North,06021,9142.0,3276.0,5608.0,021,06,0.35834609494640124,0.6134325092977466,2332.0,-0.2550864143513454
197,6023,19596.0,10883.0,33636.0,0.5825900820549411,0.323552146509692,8713,0.2590379355452491,CA,Humboldt County,North,06023,46269.0,27757.0,15653.0,023,06,0.599904903931358,0.33830426419416887,12104.0,0.2616006397371891
198,6025,28467.0,11295.0,41751.0,0.6818279801681397,0.2705324423367105,17172,0.41129553783142925,CA,Imperial County,South,06025,27453.0,17464.0,9545.0,025,06,0.6361417695698102,0.3476851345936692,7919.0,0.288456634976141
199,6027,3155.0,4248.0,7996.0,0.39457228614307155,0.5312656328164082,1093,-0.1366933466733366,CA,Inyo County,South,06027,6501.0,2775.0,3541.0,027,06,0.42685740655283805,0.5446854330103061,766.0,-0.1178280264574681
200,6029,86481.0,119164.0,217725.0,0.3972028935583879,0.547314272591572,32683,-0.15011137903318406,CA,Kern County,South,06029,168116.0,64690.0,99840.0,029,06,0.3847938328297128,0.5938756572842561,35150.0,-0.20908182445454326
201,6031,12902.0,17446.0,32250.0,0.400062015503876,0.5409612403100775,4544,-0.14089922480620154,CA,Kings County,South,06031,30139.0,12282.0,17184.0,031,06,0.40751186170742226,0.5701582666976343,4902.0,-0.162646404990212
202,6033,6240.0,5752.0,13045.0,0.47834419317746263,0.44093522422384057,488,0.03740896895362206,CA,Lake County,North,06033,16274.0,9159.0,6474.0,033,06,0.5627995575765024,0.3978124615951825,2685.0,0.16498709598131983
203,6035,2224.0,7574.0,10422.0,0.2133947418921512,0.7267319132604106,5350,-0.5133371713682594,CA,Lassen County,North,06035,10603.0,3044.0,7261.0,035,06,0.2870885598415543,0.6848061869282278,4217.0,-0.3977176270866735
204,6037,1893770.0,620285.0,2652072.0,0.7140718653188903,0.23388693821283887,1273485,0.48018492710605143,CA,Los Angeles County,Mid,06037,2427869.0,1672164.0,699600.0,037,06,0.6887373247897642,0.2881539325227185,972564.0,0.40058339226704576
205,6039,13283.0,19221.0,34263.0,0.3876776697895689,0.5609841520007005,5938,-0.1733064822111316,CA,Madera County,South,06039,32372.0,12698.0,18990.0,039,06,0.39225256394414926,0.5866180649944397,6292.0,-0.19436550105029043
206,6041,86650.0,17531.0,109941.0,0.7881500077314196,0.15945825488216406,69119,0.6286917528492556,CA,Marin County,North,06041,99286.0,73450.0,23347.0,041,06,0.7397820437926798,0.23514896360010476,50103.0,0.504633080192575
207,6043,3122.0,5185.0,8877.0,0.3516953925875859,0.5840937253576659,2063,-0.23239833277007999,CA,Mariposa County,North,06043,7805.0,3080.0,4434.0,043,06,0.39461883408071746,0.5680973734785394,1354.0,-0.17347853939782193
208,6045,6905.0,3571.0,11435.0,0.6038478355924792,0.31228683865325757,3334,0.29156099693922166,CA,Mendocino County,North,06045,17928.0,11869.0,5129.0,045,06,0.6620370370370371,0.28608879964301653,6740.0,0.37594823739402056
